aggregate_by,limit_orders_count,twap_orders_count,swap_orders_count,limit_orders_volume,twap_orders_volume,swap_orders_volume,limit_orders_surplus,twap_orders_surplus,swap_orders_surplus
7/1/2024,43,16,1067,3326111.4357740637,70499.95322269326,37887920.47042768,549.8277294876178,8281.649628474617,216665.56419677823
6/1/2024,6238,2635,54666,150878709.40956292,17453273.53323274,2023293522.5415144,314889.3049267554,1975940.8220977967,11800325.515026625
5/1/2024,6832,2649,51757,185014919.12369382,31169409.082873724,2187483595.744676,367748.7854190193,2499059.7881486462,13683866.731603377
4/1/2024,5788,1958,50478,140536709.68519902,24234859.503031168,2224422525.274818,495990.1507626489,3040548.5095591843,13154669.266354376
3/1/2024,5696,3379,54471,772222599.8996844,67957532.12173295,2592664227.718015,1319210.9045257221,4376213.215372434,17809921.393172026
2/1/2024,4012,2722,44343,108237265.2663603,27776250.377766043,1673636520.9574945,306418.42417447775,3011360.255284588,11899893.399632571
1/1/2024,5706,1909,50439,128368175.02909964,18402184.589023024,1775693007.4178483,412370.59334175294,2414800.9404867296,13414506.38394531
12/1/2023,5776,1554,49876,123199168.10788244,20096955.823007174,1604846576.9823241,564924.3042585544,2413059.872581886,12062774.606274668
11/1/2023,4403,853,41681,110325849.6014815,9130763.532,1382422431.7066748,467668.72752212617,917382.6992657761,9854845.886119373
10/1/2023,3474,607,30855,102596935.27891013,17904909.21359786,878820685.4271907,139677.2377182469,1494237.2016698285,4733240.638202679
9/1/2023,2633,606,21106,105636517.16734561,14748449.011655979,653313381.4913181,151732.29260980428,1348348.2272848154,3317084.3490997283
8/1/2023,3002,176,25359,156203149.6875594,3004419.3535187854,901549343.0203457,271234.8136242112,140261.24239009613,4912707.0276820045
7/1/2023,2268,19,22958,102654052.7617449,90524.38627980526,763361016.0332223,130806.77396887956,4600.389224476239,4774540.58
6/1/2023,2796,0,23314,111603613.51604186,,944091334.1919699,172068.70913455213,,5685334.472945457
5/1/2023,2166,0,30401,74252163.21915597,,700989333.5,196700.05783186533,,4639703.038807776
4/1/2023,1683,0,27973,96817973.69874527,,885701622.7971215,162465.62149617134,,5606391.504245821
3/1/2023,3345,0,33687,138365955.16225663,,1785560520.6953647,282415.91516403644,,9377070.263425773
2/1/2023,2496,0,33192,67875393.48995543,,954464480.2995116,220124.74833721342,,5924193.444452885
1/1/2023,3451,0,30643,57669095.037477516,,835130994.9247923,133415.0321811494,,4343367.166991874
12/1/2022,1749,0,21639,24601557.751501206,,625231203.9965817,24848.696536287178,,2228021.4599087606
