chunk,deals_paired,fullfilled_proportion,total_volume,volume_paired,execution_time_seconds
1,166.080494636741,0.007378102716926465,1394171.207797843,10286.338376113918,43.414445877075195
1,142.53513399190504,0.006978065406688856,1442253.554211108,10064.139634314583,80.0231614112854
1,281.4417570569328,0.008705268808141329,2308102.635646854,20092.65388008535,93.04410076141357
1,323.67106650985806,0.04145919440845084,1288194.3002639741,53407.4979305024,82.55430722236633
1,213.53188213841423,0.016106076567221093,1894157.0589062788,30507.43862108684,81.7606885433197
1,669.7401554753977,0.09638182365816736,1152123.816373467,111043.79450208228,52.430034160614014
1,643.2017286384314,0.07894287795515349,1157985.6336943847,91414.7185545569,47.23417854309082
1,1636.9250060533695,0.176355531045758,1400324.2343562997,246954.92398614972,34.73618507385254
1,1393.620538004041,0.17939281633487963,1183543.1243522675,212319.13433133592,32.499650955200195
1,1342.080567708486,0.19446591163642854,1078955.680707208,209820.10006403053,53.62889218330383
1,0.0,0.0,2011161.3946470476,0.0,66.95554947853088
1,594.4197928928648,0.08348865954256501,1170161.8556809966,97695.24477864681,77.17864394187927
1,798.6389073564357,0.13169122066725147,1168574.6135807503,153891.0173032107,74.68940806388855
1,255.6651302949129,0.0796032072314622,1136679.854849117,90483.36204138264,82.24084830284119
1,518.0170254521822,0.12824451251441138,1132619.852329541,145252.2808261466,69.27224850654602
1,388.8295354155196,0.06799047524011312,1095904.2553060083,74511.05113591776,72.58388328552246
1,346.3064405763388,0.10722199654621098,615875.819065474,66035.4349447331,118.44359302520752
1,281.1788080192417,0.16742352220082315,485369.13884674385,81262.21079330223,84.95708417892456
1,710.1860316645768,0.23539720986667698,582263.7774173396,137063.26861047358,90.02424240112305
